FECHA,HORA,ATI,BJU,CUA,CUT,FAC
1/1/2020,1,102,62,116,138,70
1/1/2020,2,113,61,200,137,107
1/1/2020,3,123,63,136,192,114
1/1/2020,4,101,66,143,201,124
1/1/2020,5,76,103,88,160,91
1/1/2020,6,76,84,38,133,80
1/1/2020,7,85,84,21,92,61
1/1/2020,8,75,77,23,114,75
1/1/2020,9,55,86,19,245,58
1/1/2020,10,45,56,5,221,42
1/1/2020,11,-99,27,22,148,6
1/1/2020,12,14,38,18,2,7
1/1/2020,13,37,58,19,17,23
1/1/2020,14,27,56,33,36,46
1/1/2020,15,27,63,34,36,44
1/1/2020,16,46,36,51,64,33
1/1/2020,17,67,22,47,80,26
1/1/2020,18,44,19,37,69,24
1/1/2020,19,22,22,24,46,17
1/1/2020,20,21,16,20,38,17
1/1/2020,21,19,15,15,13,19
1/1/2020,22,30,13,11,21,7
1/1/2020,23,15,12,7,14,7
1/1/2020,24,12,10,6,14,6
1/2/2020,1,12,11,-99,16,14
1/2/2020,2,11,8,-99,12,7
1/2/2020,3,3,6,-99,11,15
1/2/2020,4,-99,10,13,-99,4
1/2/2020,5,1,6,4,3,-99
1/2/2020,6,14,7,11,1,-99
1/2/2020,7,10,9,12,13,13
1/2/2020,8,18,11,10,19,1
1/2/2020,9,12,13,4,22,7
1/2/2020,10,8,17,18,10,8
1/2/2020,11,16,26,11,19,16
1/2/2020,12,20,28,21,91,25
1/2/2020,13,41,27,18,194,25
1/2/2020,14,44,35,35,221,27
1/2/2020,15,101,30,33,177,90
1/2/2020,16,54,27,47,164,92
1/2/2020,17,64,38,62,90,56
1/2/2020,18,38,-99,49,22,22
1/2/2020,19,20,19,17,27,27
1/2/2020,20,24,27,25,28,19
1/2/2020,21,25,19,24,21,23
1/2/2020,22,13,9,9,29,17
1/2/2020,23,7,7,2,21,-99
1/2/2020,24,3,13,6,10,-99
1/3/2020,1,-99,8,10,1,-99
1/3/2020,2,4,11,-99,7,-99
1/3/2020,3,1,11,6,6,-99
1/3/2020,4,6,11,4,13,-99
1/3/2020,5,1,-99,7,10,-99
1/3/2020,6,15,-99,9,16,-99
1/3/2020,7,22,11,6,21,16
1/3/2020,8,40,18,18,75,26
1/3/2020,9,47,19,14,99,52
1/3/2020,10,29,22,24,59,27
1/3/2020,11,-99,20,8,14,19
1/3/2020,12,-99,31,8,35,23
1/3/2020,13,-99,36,13,46,1
1/3/2020,14,15,27,19,37,8
1/3/2020,15,24,20,15,36,11
1/3/2020,16,22,25,24,31,22
1/3/2020,17,21,15,25,40,41
1/3/2020,18,28,53,12,17,48
1/3/2020,19,54,75,34,94,46
1/3/2020,20,35,55,33,117,47
1/3/2020,21,59,46,29,138,52
1/3/2020,22,63,40,27,107,62
1/3/2020,23,64,42,27,84,63
1/3/2020,24,57,46,26,74,25
1/4/2020,1,54,44,24,61,38
1/4/2020,2,42,43,22,74,22
1/4/2020,3,31,38,24,59,28
1/4/2020,4,26,44,24,53,28
1/4/2020,5,28,37,22,63,21
1/4/2020,6,52,43,25,74,25
1/4/2020,7,36,36,11,50,51
1/4/2020,8,50,42,37,35,54
1/4/2020,9,48,49,39,40,42
1/4/2020,10,55,50,52,43,45
1/4/2020,11,69,53,60,43,60
1/4/2020,12,62,63,57,46,67
1/4/2020,13,60,85,80,38,61
1/4/2020,14,61,92,79,38,70
1/4/2020,15,58,81,86,54,71
1/4/2020,16,53,80,92,57,68
1/4/2020,17,55,77,93,40,54
1/4/2020,18,43,57,71,26,50
1/4/2020,19,18,48,52,-99,24
1/4/2020,20,19,28,41,37,14
1/4/2020,21,38,24,35,47,18
1/4/2020,22,35,20,14,62,23
1/4/2020,23,33,28,23,82,32
1/4/2020,24,22,25,29,57,20
1/5/2020,1,13,20,30,30,24
1/5/2020,2,10,22,32,20,14
1/5/2020,3,6,20,46,21,9
1/5/2020,4,12,24,34,18,10
1/5/2020,5,11,29,28,23,13
1/5/2020,6,6,35,30,18,10
1/5/2020,7,15,29,31,23,18
1/5/2020,8,17,34,21,43,27
1/5/2020,9,26,36,22,99,33
1/5/2020,10,22,35,31,-99,30
1/5/2020,11,5,45,19,-99,27
1/5/2020,12,-99,43,19,-99,-99
1/5/2020,13,-99,39,13,-99,-99
1/5/2020,14,-99,31,9,25,-99
1/5/2020,15,24,23,26,24,-99
1/5/2020,16,37,33,25,39,-99
1/5/2020,17,19,41,33,60,30
1/5/2020,18,82,38,33,49,30
1/5/2020,19,65,32,48,70,65
1/5/2020,20,55,50,52,62,51
1/5/2020,21,51,46,66,75,48
1/5/2020,22,44,57,56,48,61
1/5/2020,23,41,72,55,75,52
1/5/2020,24,31,55,52,79,52
1/6/2020,1,24,40,65,74,62
1/6/2020,2,42,43,72,60,51
1/6/2020,3,24,55,58,45,47
1/6/2020,4,27,55,52,40,45
1/6/2020,5,31,49,55,38,47
1/6/2020,6,47,56,36,42,54
1/6/2020,7,60,56,113,51,66
1/6/2020,8,66,59,45,78,78
1/6/2020,9,76,64,47,110,106
1/6/2020,10,77,68,67,151,107
1/6/2020,11,-99,-99,78,140,103
1/6/2020,12,-99,-99,62,105,77
1/6/2020,13,108,-99,81,53,46
1/6/2020,14,71,-99,67,72,67
1/6/2020,15,63,62,53,67,62
1/6/2020,16,63,56,56,59,61
1/6/2020,17,65,57,81,55,68
1/6/2020,18,78,59,81,58,60
1/6/2020,19,85,89,112,76,59
1/6/2020,20,88,78,86,93,79
1/6/2020,21,67,77,54,85,78
1/6/2020,22,58,79,39,102,99
1/6/2020,23,51,79,53,91,47
1/6/2020,24,43,67,73,78,36
1/7/2020,1,34,36,42,56,27
1/7/2020,2,28,44,56,46,21
1/7/2020,3,27,41,45,30,25
1/7/2020,4,27,57,38,46,26
1/7/2020,5,26,43,41,34,12
1/7/2020,6,33,48,41,40,31
1/7/2020,7,32,64,31,82,46
1/7/2020,8,53,67,40,110,46
1/7/2020,9,50,52,30,107,71
1/7/2020,10,50,54,17,48,41
1/7/2020,11,42,52,26,48,38
1/7/2020,12,30,46,32,31,16
1/7/2020,13,28,38,25,35,19
1/7/2020,14,38,38,24,46,45
1/7/2020,15,45,40,40,40,43
1/7/2020,16,57,51,45,52,48
1/7/2020,17,57,53,67,64,54
1/7/2020,18,61,60,49,97,70
1/7/2020,19,72,70,68,83,71
1/7/2020,20,61,65,74,63,61
1/7/2020,21,48,45,56,59,41
1/7/2020,22,42,35,34,40,37
1/7/2020,23,43,39,45,30,42
1/7/2020,24,29,37,52,49,35
1/8/2020,1,28,31,62,36,21
1/8/2020,2,32,25,54,31,26
1/8/2020,3,29,29,45,32,18
1/8/2020,4,25,32,37,29,21
1/8/2020,5,27,28,39,33,22
1/8/2020,6,34,32,41,42,30
1/8/2020,7,45,35,37,40,65
1/8/2020,8,54,45,42,85,76
1/8/2020,9,81,48,42,136,84
1/8/2020,10,49,55,57,53,62
1/8/2020,11,45,61,57,141,66
1/8/2020,12,98,74,80,116,79
1/8/2020,13,66,78,67,89,66
1/8/2020,14,72,77,74,74,54
1/8/2020,15,85,69,79,56,70
1/8/2020,16,83,68,64,40,44
1/8/2020,17,77,63,65,68,43
1/8/2020,18,72,62,77,85,36
1/8/2020,19,94,60,84,66,79
1/8/2020,20,87,53,100,135,121
1/8/2020,21,78,77,86,132,92
1/8/2020,22,60,80,91,120,65
1/8/2020,23,49,66,64,94,39
1/8/2020,24,42,57,61,91,47
1/9/2020,1,44,65,67,80,35
1/9/2020,2,38,57,56,63,35
1/9/2020,3,34,53,49,35,35
1/9/2020,4,32,57,67,34,28
1/9/2020,5,39,50,46,36,30
1/9/2020,6,43,49,57,39,36
1/9/2020,7,52,51,51,73,56
1/9/2020,8,86,54,61,111,83
1/9/2020,9,104,56,67,200,110
1/9/2020,10,92,69,69,87,95
1/9/2020,11,74,69,61,130,109
1/9/2020,12,84,56,72,113,80
1/9/2020,13,57,55,58,25,38
1/9/2020,14,25,38,22,22,-99
1/9/2020,15,49,43,26,32,-99
1/9/2020,16,44,42,30,27,-99
1/9/2020,17,26,39,43,41,31
1/9/2020,18,62,53,53,72,36
1/9/2020,19,83,52,60,145,90
1/9/2020,20,109,59,35,117,102
1/9/2020,21,92,49,45,60,70
1/9/2020,22,63,68,42,56,68
1/9/2020,23,67,62,67,38,54
1/9/2020,24,67,53,73,65,60
1/10/2020,1,47,43,62,68,48
1/10/2020,2,23,41,27,80,38
1/10/2020,3,27,38,35,56,32
1/10/2020,4,32,32,30,52,35
1/10/2020,5,32,32,13,48,50
1/10/2020,6,41,34,29,65,43
1/10/2020,7,58,38,24,54,60
1/10/2020,8,76,44,19,93,73
1/10/2020,9,106,42,21,116,99
1/10/2020,10,86,39,34,78,105
1/10/2020,11,80,45,19,109,58
1/10/2020,12,42,43,26,76,18
1/10/2020,13,25,40,37,64,31
1/10/2020,14,31,27,26,25,21
1/10/2020,15,23,33,19,41,-99
1/10/2020,16,28,35,23,23,31
1/10/2020,17,38,24,46,35,51
1/10/2020,18,45,29,66,83,48
1/10/2020,19,39,32,57,44,50
1/10/2020,20,41,30,39,7,52
1/10/2020,21,35,30,33,34,44
1/10/2020,22,41,38,31,68,53
1/10/2020,23,45,44,16,105,46
1/10/2020,24,58,50,14,74,33
1/11/2020,1,52,44,-99,47,6
1/11/2020,2,37,32,11,34,8
1/11/2020,3,17,29,18,14,16
1/11/2020,4,24,30,7,16,12
1/11/2020,5,26,34,17,27,21
1/11/2020,6,26,31,22,44,28
1/11/2020,7,30,35,26,62,33
1/11/2020,8,34,36,27,89,41
1/11/2020,9,61,45,29,121,62
1/11/2020,10,67,47,34,85,66
1/11/2020,11,49,53,28,77,56
1/11/2020,12,38,48,34,52,34
1/11/2020,13,41,42,34,43,29
1/11/2020,14,48,40,27,48,31
1/11/2020,15,52,36,28,58,27
1/11/2020,16,21,33,29,45,21
1/11/2020,17,25,40,38,45,39
1/11/2020,18,30,44,39,65,45
1/11/2020,19,51,49,45,130,58
1/11/2020,20,72,43,45,103,74
1/11/2020,21,72,46,24,71,68
1/11/2020,22,63,52,55,111,72
1/11/2020,23,56,46,64,73,49
1/11/2020,24,45,50,62,37,40
1/12/2020,1,32,42,51,27,45
1/12/2020,2,38,36,42,28,36
1/12/2020,3,39,43,41,21,38
1/12/2020,4,46,53,36,26,29
1/12/2020,5,36,45,32,20,34
1/12/2020,6,34,44,29,30,37
1/12/2020,7,36,39,37,39,31
1/12/2020,8,41,44,41,62,50
1/12/2020,9,56,57,19,140,67
1/12/2020,10,66,63,43,2,71
1/12/2020,11,53,59,38,90,60
1/12/2020,12,52,55,53,75,37
1/12/2020,13,30,52,49,22,5
1/12/2020,14,28,37,45,-99,-99
1/12/2020,15,20,28,28,-99,7
1/12/2020,16,22,30,34,9,28
1/12/2020,17,30,28,38,12,31
1/12/2020,18,31,32,40,90,43
1/12/2020,19,76,50,46,112,64
1/12/2020,20,70,47,51,78,82
1/12/2020,21,54,45,63,87,51
1/12/2020,22,45,46,49,72,40
1/12/2020,23,40,36,38,71,27
1/12/2020,24,32,30,37,87,27
1/13/2020,1,23,30,27,74,23
1/13/2020,2,22,30,30,43,20
1/13/2020,3,20,26,34,31,13
1/13/2020,4,23,28,28,19,19
1/13/2020,5,27,39,27,37,20
1/13/2020,6,31,40,26,51,20
1/13/2020,7,47,45,29,56,43
1/13/2020,8,70,51,42,84,54
1/13/2020,9,94,55,31,137,84
1/13/2020,10,21,77,24,86,78
1/13/2020,11,-99,87,33,72,77
1/13/2020,12,107,65,64,51,50
1/13/2020,13,49,42,60,66,30
1/13/2020,14,71,29,45,25,30
1/13/2020,15,58,34,46,27,24
1/13/2020,16,62,37,40,52,35
1/13/2020,17,54,50,52,57,75
1/13/2020,18,56,56,57,47,65
1/13/2020,19,74,42,58,108,62
1/13/2020,20,116,38,86,162,115
1/13/2020,21,58,51,57,96,83
1/13/2020,22,38,37,68,42,47
1/13/2020,23,49,46,43,39,30
1/13/2020,24,35,36,38,37,23
1/14/2020,1,23,34,45,50,25
1/14/2020,2,11,31,37,33,21
1/14/2020,3,25,22,23,26,2
1/14/2020,4,20,28,34,23,8
1/14/2020,5,18,32,28,28,5
1/14/2020,6,20,33,30,33,15
1/14/2020,7,33,37,36,55,34
1/14/2020,8,46,49,21,91,65
1/14/2020,9,71,57,38,-99,81
1/14/2020,10,56,72,62,-99,57
1/14/2020,11,69,76,67,-99,46
1/14/2020,12,128,75,61,-99,55
1/14/2020,13,77,64,79,-99,77
1/14/2020,14,64,56,84,-99,46
1/14/2020,15,45,28,59,-99,35
1/14/2020,16,26,28,24,-99,10
1/14/2020,17,18,39,22,14,23
1/14/2020,18,36,46,27,96,72
1/14/2020,19,82,28,52,156,80
1/14/2020,20,81,30,41,114,74
1/14/2020,21,63,39,43,73,66
1/14/2020,22,64,55,44,46,44
1/14/2020,23,54,39,42,29,25
1/14/2020,24,35,35,36,47,13
1/15/2020,1,19,32,55,39,15
1/15/2020,2,19,37,50,44,24
1/15/2020,3,17,31,36,32,15
1/15/2020,4,16,39,43,31,20
1/15/2020,5,19,34,13,35,12
1/15/2020,6,25,35,22,28,23
1/15/2020,7,39,43,53,38,26
1/15/2020,8,60,46,42,96,85
1/15/2020,9,87,46,31,60,79
1/15/2020,10,89,50,51,-99,113
1/15/2020,11,92,59,-99,-99,99
1/15/2020,12,89,65,-99,-99,80
1/15/2020,13,52,44,-99,-99,26
1/15/2020,14,23,36,-99,63,6
1/15/2020,15,26,31,25,63,25
1/15/2020,16,19,26,43,79,17
1/15/2020,17,42,35,43,67,24
1/15/2020,18,67,44,40,71,48
1/15/2020,19,82,31,63,98,91
1/15/2020,20,122,29,36,66,103
1/15/2020,21,73,45,48,67,99
1/15/2020,22,47,46,62,52,58
1/15/2020,23,48,34,46,54,48
1/15/2020,24,27,36,35,45,18
1/16/2020,1,18,33,43,32,21
1/16/2020,2,28,31,50,27,10
1/16/2020,3,14,28,45,26,22
1/16/2020,4,22,28,40,15,-99
1/16/2020,5,16,30,50,24,8
1/16/2020,6,18,36,43,53,40
1/16/2020,7,36,40,49,98,45
1/16/2020,8,97,47,49,59,51
1/16/2020,9,115,60,54,38,82
1/16/2020,10,85,69,-99,63,89
1/16/2020,11,71,79,-99,51,79
1/16/2020,12,92,70,113,53,-99
1/16/2020,13,49,63,81,48,-99
1/16/2020,14,31,74,78,53,53
